school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,zip
2018-19,3619_0337,Kluge Elementary,Traditional Public,65.1,Meets Expectations,323,53218
2018-19,3619_1121,La Causa Charter School,Non-Instrumentality Charter,77,Exceeds Expectations,778,53204
2018-19,3619_0296,Lad Lake Synergy School,Partnership,NA,Alternate Rating - Needs Improvement,45,53215
2018-19,3619_0238,LaFollette Elementary,Traditional Public,59.3,Meets Few Expectations,265,53206
2018-19,3619_0241,Lancaster Elementary,Traditional Public,38.9,Fails to Meet Expectations,319,53218
2018-19,3619_0250,Lincoln Avenue Elementary,Traditional Public,65.2,Meets Expectations,503,53215
2018-19,3619_0006,Lincoln Middle,Traditional Public,58.1,Meets Few Expectations,648,53202
2018-19,3619_0256,Longfellow Elementary,Traditional Public,67,Meets Expectations,866,53204
2018-19,3619_0257,Lowell International Elementary,Traditional Public,60.1,Meets Few Expectations,249,53221
2018-19,3619_0870,MacDowell Montessori School K3-12,Traditional Public,62.1,Meets Few Expectations,823,53213
2018-19,3619_0265,Manitoba Elementary,Traditional Public,59.7,Meets Few Expectations,521,53215
2018-19,3619_0267,Maple Tree Elementary,Traditional Public,61,Meets Few Expectations^,291,53224
2018-19,0000_2291,Pilgrim Lutheran School,Private,89.9,Significantly Exceeds Expectations,214,53210
2018-19,3619_0008,Marshall High,Traditional Public,45.3,Fails to Meet Expectations^,865,53216
2018-19,3619_0268,Maryland Montessori,Traditional Public,79.9,Exceeds Expectations,456,53211
2018-19,3619_0176,Meir School,Traditional Public,75.2,Exceeds Expectations,1162,53212
2018-19,3619_0525,Metcalfe Elementary,Traditional Public,62.1,Meets Few Expectations,286,53208
2018-19,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,71.7,Meets Expectations^,441,53233
2018-19,3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,Non-Instrumentality Charter,73.6,Exceeds Expectations,506,53210
2018-19,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,83.5,Significantly Exceeds Expectations,506,53210
2018-19,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,80.9,Exceeds Expectations,501,53205
2018-19,3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,76.5,Exceeds Expectations,489,53205
2018-19,3619_0315,Milwaukee County Youth Education Center,Traditional Public,NA,Alternate Rating - Needs Improvement,22,53233
2018-19,3619_0118,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,76.2,Exceeds Expectations,414,53216
2018-19,3619_0885,Milwaukee Excellence Charter School,Non-Instrumentality Charter,89.5,Significantly Exceeds Expectations,325,53209
2018-19,3619_0140,Milwaukee French Immersion,Traditional Public,70.8,Meets Expectations,637,53210
2018-19,3619_0146,Milwaukee German Immersion,Traditional Public,79.3,Exceeds Expectations,594,53222
2018-19,3619_0038,Milwaukee High School of the Arts,Traditional Public,55.1,Meets Few Expectations,884,53233
2018-19,3619_0362,Milwaukee Parkside School,Traditional Public,81,Exceeds Expectations^,812,53207
2018-19,3619_0071,Milwaukee School of Languages,Traditional Public,63.8,Meets Expectations,1182,53222
2018-19,3619_0226,Milwaukee Sign Language Elementary,Traditional Public,67.5,Meets Expectations,593,53223
2018-19,3619_0167,Milwaukee Spanish Immersion,Traditional Public,66.7,Meets Expectations,728,53219
2018-19,3619_0274,Mitchell Elementary,Traditional Public,59.7,Meets Few Expectations,680,53204
2018-19,3619_0277,Morgandale Elementary,Traditional Public,70.8,Meets Expectations,577,53221
2018-19,3619_0052,Morse Mid,Traditional Public,54.2,Meets Few Expectations,395,53223
2018-19,3619_0283,Neeskara Elementary,Traditional Public,63.3,Meets Expectations,386,53208
2018-19,3619_0289,Ninety-Fifth Street Elementary,Traditional Public,63.4,Meets Expectations,409,53222
2018-19,3619_0419,North Division High 0419,Traditional Public,27.4,Fails to Meet Expectations,348,53206
2018-19,3619_1072,NOVA-Northwest Opportunities Vocational Academy,Partnership,NA,Alternate Rating - Needs Improvement,112,53206
2018-19,3619_0840,Obama School of Career and Technical Education,Traditional Public,33.8,Fails to Meet Expectations,664,53209
2018-19,3619_0301,Parkview Elementary,Traditional Public,84.9,Significantly Exceeds Expectations,394,53225
2018-19,3619_0325,Pratt Elementary,Traditional Public,92.2,Significantly Exceeds Expectations^,292,53209
2018-19,3619_0458,Project STAY-Supporting Teachers and Youth,Traditional Public,NA,Alternate Rating - Needs Improvement,203,53233
2018-19,3619_0026,Pulaski High,Traditional Public,33.1,Fails to Meet Expectations,841,53215
2018-19,3619_0435,Reagan College Preparatory High,Traditional Public,82.3,Exceeds Expectations,1352,53221
2018-19,3619_0313,Riley Elementary,Traditional Public,63,Meets Expectations,477,53207
2018-19,3619_0194,River Trail Elementary,Traditional Public,60.1,Meets Few Expectations,405,53225
2018-19,3619_0029,Riverside High,Traditional Public,48.8,Fails to Meet Expectations,1496,53211
2018-19,3619_0307,Riverwest Elementary,Traditional Public,51.6,Fails to Meet Expectations,349,53212
2018-19,3619_0177,Rogers Street Academy,Traditional Public,69.8,Meets Expectations,657,53204
2018-19,3619_0059,Roosevelt Middle,Traditional Public,60.9,Meets Few Expectations,345,53205
2018-19,3619_1074,Shalom High,Partnership,NA,Alternate Rating - Needs Improvement,100,53205
2018-19,3619_0319,Sherman Elementary,Traditional Public,51.8,Fails to Meet Expectations,356,53210
2018-19,3619_0107,Siefert Elementary,Traditional Public,61.8,Meets Few Expectations,319,53205
2018-19,3619_0442,South Accelerated Academy,Traditional Public,NA,Alternate Rating - Needs Improvement,61,53204
2018-19,3619_0032,South Division High,Traditional Public,43.3,Fails to Meet Expectations^,934,53204
2018-19,3619_1086,Southeastern,Partnership,NA,Alternate Rating - Needs Improvement,19,53212
2018-19,3619_0312,Starms Discovery,Traditional Public,63.8,Meets Expectations,320,53205
2018-19,3619_0343,Story Elementary,Traditional Public,57,Meets Few Expectations,437,53208
2018-19,3619_0344,Stuart Elementary,Traditional Public,66.1,Meets Expectations,320,53224
2018-19,3619_0360,Thoreau Elementary,Traditional Public,58.5,Meets Few Expectations,471,53223
2018-19,3619_0154,Thurston Woods Elementary,Traditional Public,64.1,Meets Expectations,411,53209
2018-19,3619_0365,Townsend Street Elementary,Traditional Public,55.1,Meets Few Expectations,320,53216
2018-19,3619_0433,Transition High,Traditional Public,NA,Alternate Rating - Satisfactory Progress,165,53208
2018-19,3619_0368,Trowbridge Street School of Great Lakes Studies,Traditional Public,66.7,Meets Expectations,248,53207
2018-19,3619_0387,Victory Elementary,Traditional Public,76.3,Exceeds Expectations,554,53221
2018-19,3619_0390,Vieau Elementary,Traditional Public,71.8,Meets Expectations,739,53204
2018-19,3619_0448,Vincent Accelerated Academy,Traditional Public,NA,Alternate Rating - Satisfactory Progress,35,53224
2018-19,3619_0033,Vincent High,Traditional Public,44.2,Fails to Meet Expectations^,778,53224
2018-19,3619_0204,Wedgewood Park School,Traditional Public,73.7,Exceeds Expectations,907,53220
2018-19,3619_0130,Westside Academy,Traditional Public,54.4,Meets Few Expectations,214,53208
2018-19,3619_0397,Whitman Elementary,Traditional Public,72.6,Meets Expectations,412,53220
2018-19,3619_0398,Whittier Elementary,Instrumentality Charter,76.5,Exceeds Expectations,213,53207
2018-19,3619_0424,WHS Information Technology,Traditional Public,44.5,Fails to Meet Expectations^,632,53210
2018-19,3619_0399,Wisconsin Conservatory of Lifelong Learning,Traditional Public,36.1,Fails to Meet Expectations,625,53233
2018-19,3619_0295,Zablocki Elementary,Traditional Public,64.7,Meets Expectations,330,53215
2018-19,8106_1251,Milwaukee Academy of Science,2r/2x Charter,73.3,Exceeds Expectations,1132,53233
2018-19,8127_0400,Milwaukee Collegiate Academy,2r/2x Charter,64.2,Meets Expectations,320,53216
2018-19,8128_0800,Milwaukee Math and Science Academy,2r/2x Charter,74.8,Exceeds Expectations,294,53212
2018-19,8129_0100,Milwaukee Scholars Charter School,2r/2x Charter,73.1,Exceeds Expectations,724,53218
2018-19,8139_8139,Pathways High,2r/2x Charter,50.7,Fails to Meet Expectations,85,53212
2018-19,8138_8138,Penfield Montessori Academy,2r/2x Charter,NA,Alternate Rating - Needs Improvement,113,53205
2018-19,8002_8133,Rocketship Southside Community Prep,2r/2x Charter,73.9,Exceeds Expectations,493,53215
2018-19,0000_1253,Victory Christian Academy,Private,74.4,Exceeds Expectations,219,53219
2018-19,8002_8140,Rocketship Transformation Prep,2r/2x Charter,NA,Alternate Rating - Needs Improvement,79,53218
2018-19,8001_8121,Seeds of Health Elementary Program,2r/2x Charter,67.5,Meets Expectations,422,53215
2018-19,8001_8115,Tenor High,2r/2x Charter,88.3,Significantly Exceeds Expectations^,245,53202
2018-19,8001_8124,Veritas High,2r/2x Charter,77,Exceeds Expectations,252,53215
2018-19,8136_8136,Stellar Collegiate Charter School,2r/2x Charter,NA,Alternate Rating - Needs Improvement,148,53215
2018-19,8137_8137,United Community Center Acosta Middle School,2r/2x Charter,82,Exceeds Expectations^,168,53204
2018-19,8113_8728,Woodlands School,2r/2x Charter,79.8,Exceeds Expectations,352,53208
2018-19,8132_0100,Woodlands School - State Street Campus,2r/2x Charter,84.3,Significantly Exceeds Expectations,312,53208
2018-19,3619_0115,Lee Learning Center,Traditional Public,NA,NA,NA,53206
2018-19,3619_1141,Next Door Charter,Non-Instrumentality Charter,NA,NA,NA,53210
2018-19,3619_0149,Starms Early Childhood,Traditional Public,NA,NA,NA,53205
