GEOID,NAME,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079004200,"Census Tract 42, Milwaukee County, Wisconsin",0.03718854592785422,0.017850502045370024,0.9044254369654147,0.0014875418371141688,0.001859427296392711,0,0.004090740052063964,0.033097805875790254,2689,1801,888
55079004300,"Census Tract 43, Milwaukee County, Wisconsin",0.03508416142770229,0.029203001419590348,0.8969783005475562,0.0012167917258162643,0.0022307848306631515,0,0.002027986209693774,0.0332589738389779,4931,3399,1532
55079004400,"Census Tract 44, Milwaukee County, Wisconsin",0.0686055182699478,0.17710663683818045,0.685682326621924,0.0014914243102162564,0.02870991797166294,0,0.0022371364653243847,0.03616703952274422,2682,1898,784
55079004500,"Census Tract 45, Milwaukee County, Wisconsin",0.03946764570904084,0.01698026617714548,0.9068379990821478,4.589261128958238e-4,0.0032124827902707664,0,0.0013767783386874712,0.03166590178981184,2179,1401,778
55079004600,"Census Tract 46, Milwaukee County, Wisconsin",0.021990309355199404,0.017517704062616473,0.9213566902720834,0.002981736861721953,0.00633619083115915,7.454342154304882e-4,0.004845322400298174,0.024226612001490868,2683,1826,857
55079004700,"Census Tract 47, Milwaukee County, Wisconsin",0.018338427340928037,0.012225618227285358,0.9313698249513754,0.0011114198388441233,0.004167824395665463,0,0.0027785495971103086,0.03000833564879133,3599,2496,1103
55079004800,"Census Tract 48, Milwaukee County, Wisconsin",0.03716312056737588,0.028368794326241134,0.8927659574468085,0.0022695035460992908,0.004822695035460993,0,0.0070921985815602835,0.0275177304964539,3525,2365,1160
55079005100,"Census Tract 51, Milwaukee County, Wisconsin",0.029088750371029978,0.10151380231522707,0.7770851884832295,0.0017809439002671415,0.046898189373701396,0,0.0050460077174235675,0.0385871178391214,3369,2348,1021
55079006000,"Census Tract 60, Milwaukee County, Wisconsin",0.051070840197693576,0.06177924217462932,0.8249588138385503,0.004118616144975288,0.01400329489291598,0,0.0032948929159802307,0.04077429983525535,2428,1440,988
55079006100,"Census Tract 61, Milwaukee County, Wisconsin",0.05956678700361011,0.08664259927797834,0.7982851985559567,0,0.01263537906137184,0,0.005415162454873646,0.037454873646209384,2216,1368,848
55079006200,"Census Tract 62, Milwaukee County, Wisconsin",0.0337751175716118,0.01966652415562206,0.8969645147498931,0.0021376656690893546,0.011543394613082514,0,0.006412997007268063,0.029499786233433092,2339,1455,884
55079006300,"Census Tract 63, Milwaukee County, Wisconsin",0.03612565445026178,0.01780104712041885,0.9052356020942408,0,0.002617801047120419,0.0010471204188481676,0.005759162303664921,0.031413612565445025,1910,1246,664
55079006400,"Census Tract 64, Milwaukee County, Wisconsin",0.05198776758409786,0.014780835881753314,0.8837920489296636,0.003567787971457696,0.00764525993883792,0,0.013251783893985729,0.024974515800203875,1962,1202,760
