GEOID,NAME,geometry,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079003800,"Census Tract 38, Milwaukee County, Wisconsin","list(list(c(-87.977136, -87.977099, -87.977061, -87.977058, -87.974716, -87.97349, -87.972359, -87.971146, -87.968527, -87.967007, -87.967204, -87.967235, -87.970897, -87.974545, -87.97467, -87.977211, -87.977136, 43.086222, 43.088018, 43.089817, 43.089958, 43.089945, 43.089922, 43.08992, 43.089922, 43.089902, 43.089884, 43.084261, 43.082507, 43.082529, 43.082551, 43.082552, 43.082567, 43.086222)))",0.043689320388349516,0.05679611650485437,0.8514563106796117,0.002912621359223301,0.015533980582524271,9.70873786407767e-4,0.003883495145631068,0.02475728155339806,2060,1447,613
55079003900,"Census Tract 39, Milwaukee County, Wisconsin","list(list(c(-87.967204, -87.967007, -87.962142, -87.95836, -87.95709, -87.957146, -87.957169, -87.957194, -87.96316, -87.967235, -87.967204, 43.084261, 43.089884, 43.089902, 43.08992, 43.089917, 43.085958, 43.084333, 43.082523, 43.082514, 43.082507, 43.084261)))",0.03556242752222652,0.028991109393119444,0.8917665249323541,0.004252029377657518,0.008117510630073444,0,0.003865481252415926,0.027444916892153073,2587,1804,783
55079004000,"Census Tract 40, Milwaukee County, Wisconsin","list(list(c(-87.977049, -87.976888, -87.973405, -87.972214, -87.966991, -87.967039, -87.967007, -87.968527, -87.971146, -87.972359, -87.97349, -87.974716, -87.977058, -87.977049, 43.090348, 43.097208, 43.097198, 43.09688, 43.09685, 43.093413, 43.089884, 43.089902, 43.089922, 43.08992, 43.089922, 43.089945, 43.089958, 43.090348)))",0.01818181818181818,0.029494949494949494,0.9103030303030303,0.00202020202020202,0.01575757575757576,0,0.0044444444444444444,0.019797979797979797,2475,1539,936
55079004100,"Census Tract 41, Milwaukee County, Wisconsin","list(list(c(-87.967039, -87.966991, -87.961673, -87.959891, -87.958111, -87.956846, -87.956814, -87.957575, -87.958329, -87.956812, -87.956558, -87.954414, -87.953009, -87.95045, -87.950514, -87.948141, -87.946873, -87.946932, -87.947007, -87.95709, -87.95836, -87.962142, -87.967007, -87.967039, 43.093413, 43.09685, 43.096646, 43.096523, 43.096521, 43.096538, 43.09692, 43.098946, 43.10076, 43.10076, 43.100761, 43.100617, 43.100854, 43.099398, 43.09515, 43.095159, 43.095161, 43.092812, 43.089802, 
43.089917, 43.08992, 43.089902, 43.089884, 43.093413)))",0.05054151624548736,0.029683112715603692,0.8648215002005616,0.002807862013638187,0.011632571199358203,0,8.022462896109105e-4,0.039711191335740074,2493,1612,881
55079004200,"Census Tract 42, Milwaukee County, Wisconsin","list(list(c(-87.953009, -87.949161, -87.946757, -87.94577, -87.945351, -87.94372, -87.9419, -87.940613, -87.938801, -87.93947, -87.942007, -87.94354, -87.944721, -87.94574, -87.947007, -87.946932, -87.946873, -87.948141, -87.950514, -87.95045, -87.953009, 43.100854, 43.100836, 43.100834, 43.100821, 43.098957, 43.098933, 43.095459, 43.092894, 43.089634, 43.089648, 43.0897, 43.089731, 43.089755, 43.089776, 43.089802, 43.092812, 43.095161, 43.095159, 43.09515, 43.099398, 43.100854)))",0.03718854592785422,0.017850502045370024,0.9044254369654147,0.0014875418371141688,0.001859427296392711,0,0.004090740052063964,0.033097805875790254,2689,1801,888
55079004300,"Census Tract 43, Milwaukee County, Wisconsin","list(list(c(-87.94637, -87.942862, -87.927975, -87.927655, -87.927036, -87.925061, -87.922071, -87.921837, -87.917069, -87.919044, -87.917113, -87.917123, -87.917192, -87.921651, -87.92185, -87.923388, -87.924613, -87.927095, -87.929575, -87.930801, -87.932067, -87.93446, -87.937055, -87.938801, -87.940613, -87.9419, -87.94372, -87.945479, -87.94637, 43.103965, 43.102847, 43.098061, 43.097959, 43.097758, 43.094568, 43.094545, 43.094542, 43.095253, 43.094795, 43.093005, 43.092543, 43.089307, 43.089338, 
43.089341, 43.089354, 43.089363, 43.089382, 43.089437, 43.089464, 43.089491, 43.089543, 43.089599, 43.089634, 43.092894, 43.095459, 43.098933, 43.102238, 43.103965)))",0.03508416142770229,0.029203001419590348,0.8969783005475562,0.0012167917258162643,0.0022307848306631515,0,0.002027986209693774,0.0332589738389779,4931,3399,1532
55079004500,"Census Tract 45, Milwaukee County, Wisconsin","list(list(c(-87.927256, -87.927095, -87.924613, -87.923388, -87.92185, -87.921651, -87.917192, -87.917302, -87.917402, -87.918385, -87.919274, -87.920602, -87.92238, -87.923624, -87.924846, -87.926081, -87.927302, -87.927256, 43.083404, 43.089382, 43.089363, 43.089354, 43.089341, 43.089338, 43.089307, 43.085519, 43.082098, 43.081712, 43.081616, 43.081627, 43.081642, 43.081652, 43.081662, 43.081672, 43.081674, 43.083404)))",0.03946764570904084,0.01698026617714548,0.9068379990821478,4.589261128958238e-4,0.0032124827902707664,0,0.0013767783386874712,0.03166590178981184,2179,1401,778
55079004600,"Census Tract 46, Milwaukee County, Wisconsin","list(list(c(-87.937166, -87.93716, -87.937055, -87.93446, -87.932067, -87.930801, -87.929575, -87.927095, -87.927256, -87.927302, -87.929767, -87.930987, -87.933429, -87.934552, -87.934834, -87.937215, -87.937166, 43.084543, 43.084826, 43.089599, 43.089543, 43.089491, 43.089464, 43.089437, 43.089382, 43.083404, 43.081674, 43.081718, 43.081742, 43.081789, 43.08181, 43.082314, 43.082363, 43.084543)))",0.021990309355199404,0.017517704062616473,0.9213566902720834,0.002981736861721953,0.00633619083115915,7.454342154304882e-4,0.004845322400298174,0.024226612001490868,2683,1826,857
55079004700,"Census Tract 47, Milwaukee County, Wisconsin","list(list(c(-87.957194, -87.957169, -87.957146, -87.95709, -87.947007, -87.94574, -87.944721, -87.94354, -87.942007, -87.93947, -87.938801, -87.937055, -87.93716, -87.937166, -87.937215, -87.939694, -87.941103, -87.942195, -87.94369, -87.945897, -87.947137, -87.94718, -87.949686, -87.95331, -87.957216, -87.957194, 43.082523, 43.084333, 43.085958, 43.089917, 43.089802, 43.089776, 43.089755, 43.089731, 43.0897, 43.089648, 43.089634, 43.089599, 43.084826, 43.084543, 43.082363, 43.08241, 43.082437, 43.082458, 
43.082486, 43.082538, 43.083506, 43.081147, 43.081151, 43.081139, 43.081127, 43.082523)))",0.018338427340928037,0.012225618227285358,0.9313698249513754,0.0011114198388441233,0.004167824395665463,0,0.0027785495971103086,0.03000833564879133,3599,2496,1103
55079004800,"Census Tract 48, Milwaukee County, Wisconsin","list(list(c(-87.967366, -87.967334, -87.967296, -87.967235, -87.96316, -87.957194, -87.957216, -87.957247, -87.95728, -87.957334, -87.95736, -87.964475, -87.967418, -87.967366, 43.075192, 43.076992, 43.07912, 43.082507, 43.082514, 43.082523, 43.081127, 43.079115, 43.077021, 43.073368, 43.071558, 43.071544, 43.071546, 43.075192)))",0.03716312056737588,0.028368794326241134,0.8927659574468085,0.0022695035460992908,0.004822695035460993,0,0.0070921985815602835,0.0275177304964539,3525,2365,1160
