ward,zip,alloc
118,53206,0.35357624310781527
118,53212,0.4428464626210581
118,53209,0.20357729603879923
119,53212,1
120,53212,1
121,53212,1
122,53212,1
123,53212,1
266,53219,1
267,53219,1
268,53220,1.4053402522259107e-4
268,53219,0.9998594818859547
269,53220,0.026066603255512737
269,53219,0.9739334011082802
270,53227,0.07641849389829919
270,53228,0.04918352075199725
270,53220,0.1061322507818169
270,53219,0.7682657612523748
271,53227,0.9987910374348835
271,53228,0.0011687322646165615
271,53220,4.252438484410378e-6
271,53219,3.5977862015532994e-5
272,53227,0.37886417837274416
272,53228,0.6211358216272558
273,53228,1
274,53228,0.9250753725682392
274,53220,0.0749246274317607
275,53228,0.028198991728530045
275,53220,0.97180100827147
276,53220,1
306,53221,1
307,53221,1
308,53221,1
309,53221,1
310,53221,1
311,53221,1
312,53221,1
313,53221,0.9997421594505386
313,53154,2.57840549461426e-4
314,53221,1
315,53221,0.9990355000846937
315,53154,9.644999153063699e-4
316,53221,0.47209562710762315
316,53207,0.5273034320821042
316,53154,6.00940810272638e-4
317,53110,3.395256610014583e-5
317,53207,0.9815657377008309
317,53235,1.4438137287408606e-4
317,53154,0.01825592836019487
318,53022,0.983931970439559
318,53097,0.016068029561203605
319,53225,0.972979399094216
319,53051,0.027020600970217162
320,53204,1
321,53204,1
322,53215,1
323,53215,1
324,53215,1
326,53221,1
327,53221,1
325,53207,1
207,53214,0.016264687780120874
207,53213,0.9837353265902269
208,53214,0.3434119712125801
208,53213,0.6565880289898581
209,53226,0.001189797398307834
209,53214,0.7231906661540471
209,53213,0.2756195659392277
210,53226,1
211,53226,0.5972806496984167
211,53214,0.4027193503015833
212,53214,1
213,53208,0.010864272520306863
213,53295,0.2718969042795269
213,53214,0.7172388232063343
214,53208,1
215,53215,0.23358573211080344
215,53208,0.08800556677707609
215,53295,4.326520764686737e-5
215,53214,0.6783654378879981
216,53215,1
217,53215,0.999982242109438
217,53214,9.328223348321874e-6
217,53219,8.429667213672973e-6
218,53215,1
219,53215,1
220,53215,0.8749896068749365
220,53204,0.1250103955445293
221,53215,1
222,53215,0.09338981186121023
222,53204,0.9066101988026202
223,53215,0.4496937340782486
223,53204,0.5503062659217515
224,53215,0.5135873958850248
224,53204,0.48641262698037974
225,53204,1
226,53204,1
227,53215,0.11577084570926555
227,53208,0.17437870665003294
227,53214,0.04267113434815456
227,53204,0.28969786191304986
227,53233,0.37748145137949707
228,53204,1
229,53204,1
230,53215,0.03307291648296177
230,53204,0.9669270852518019
231,53204,1
232,53204,1
233,53204,1
277,53220,0.9989152007402741
277,53219,0.0010848052689628894
278,53220,1
279,53220,0.5128077219433925
279,53219,0.4871922788216477
280,53215,0.40998897270917267
